Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
BIG PINE,0,-9078.187800032254,-15080.369491410638,-22290.804897886082,-26199.490160005378,-26652.64034617693,-25104.990150781516,-22538.086882145923,-20103.264085271352
BIG SUR,0,-8328.942300244857,-18660.215863405512,-28791.242925402745,-37632.96936994829,-45252.98766704042,-52083.73190485344,-58722.67138936637,-64582.19597381273
BIGGS,0,-25974.400542084462,-67808.56624084731,-110303.93576284927,-140211.12414600968,-178569.40083581727,-193636.9281213318,-210903.02139591658,-227278.1109637296
BIOLA,0,-4528.563165319079,-11355.265382163336,-18356.282745311022,-24889.289736260187,-31309.07130654536,-37185.046414336146,-43128.559616952676,-49411.64395782766
BIRDS LANDING,0,-76775.52190562713,-164275.75618512227,-255218.65537218668,-350889.9736543804,-450897.0758231798,-537234.7540370149,-615506.2279522729,-692766.7712778514
BISHOP,0,-4993.404126433888,-8294.847136601456,-12260.86342236679,-14410.707413903147,-14659.949539966066,-13808.67458384746,-12396.769993008696,-11057.517455859226
BLAIRSDEN-GRAEAGLE,0,13410.122301933938,15288.68699674998,13579.846680456874,15815.9954152125,21958.422942238467,31538.44228699016,41813.74489696954,49083.7366059687
BLOCKSBURG,0,-3190.803170377927,-8612.246685100305,-13472.755765027352,-13169.974729299676,-10774.44528939003,-6512.745891200364,-1756.2341380884172,1296.2141338581496
BLOOMINGTON,0,-4461.721927622799,-10835.831681491458,-18880.67676093767,-27485.383938595653,-35702.44097259652,-42917.09106048208,-49176.08035859186,-55232.56296357396
BLUE LAKE,0,-4085.270020478616,-11026.450869854045,-17249.41289242784,-16861.61592137423,-13794.59280217922,-8338.303904892542,-2248.5131555087864,1659.5456773865953
BLYTHE,0,-578454.1935913096,-1732799.4481587003,-2761319.375459097,-3649762.939470904,-4506873.133968144,-5267677.0296866,-5960317.140651817,-6599147.826353407
BODEGA,0,120196.05814458217,282412.68579952925,445873.90457775,596140.4575463359,732418.789100399,855903.8847405091,968599.3255253374,1073929.6442898663
BODEGA BAY,0,-105969.68827373278,-248985.77360601976,-393098.3968783764,-525574.571328959,-645720.8589989989,-754588.1034167226,-853942.7337144054,-946803.9129029384
BODFISH,0,-55815.07867311282,-166847.38895747904,-282042.3457998412,-398877.4993307951,-518787.9751688376,-640357.3503723673,-763319.57680953,-882714.6076249155
BOLINAS,0,-76017.49618754194,-88846.1770167229,-100560.98146576433,-125406.46207218402,-167196.67922286774,-214131.6662818968,-252346.33408688495,-278834.267634144
BONITA,0,-36296.216288165655,-72388.04336160794,-101950.77644573594,-131429.32969976286,-158884.21739796153,-183788.6070219255,-208258.66888885945,-231613.66211148887
BONSALL,0,504320.4902973701,1005856.5750158161,1416652.131034472,1826310.0320870297,2207834.3323269673,2553922.669887427,2893977.923341183,3218542.032254592
BOONVILLE,0,-2309.0750160169555,-8265.281635878782,-15255.429692815771,-20616.136373598987,-24470.317016941088,-26974.858200919567,-29272.770463358567,-32998.48394264054
BORON,0,-51324.11765240884,-153421.03242125173,-259345.50783279806,-366776.68004488153,-477037.00801222207,-588822.708511263,-701888.7934963055,-811674.6868454914
BORREGO SPRINGS,0,-33304.87291859208,-99767.03656272705,-158984.72594294895,-210137.40784842204,-259486.06770060712,-303289.8309101204,-343169.01703513786,-379950.09024772915
BOULDER CREEK,0,-195633.52554974455,-355795.71551786165,-528287.3701928278,-623613.7209802831,-782082.1311668779,-779852.8473031934,-814675.994227745,-860079.9120450047
BRADLEY,0,-6753.290072792515,-19975.181221136358,-33689.25819173315,-42046.4612334323,-56216.24421311132,-56531.23012983718,-59678.37685102514,-61947.588443001434
BRANSCOMB,0,-1439.2620701103951,-5151.824036744372,-9508.877916179918,-12850.37744056539,-15252.762186408741,-16813.900304562718,-18246.254004494185,-20568.587081143094
BRAWLEY,0,-91424.08188057953,-273867.08848827623,-436423.5335712215,-576840.9127361313,-712306.2025990835,-832550.3863105869,-942021.3323708747,-1042987.7508706361
BREA,0,-341782.75548119156,-573917.333341158,-730764.6701792863,-871344.0185507007,-994424.9837040908,-1092453.8374440796,-1146523.5294765464,-1173200.3110226963
BRENTWOOD,0,-197984.80426275427,-397000.0214638929,-596004.3182183118,-793272.0971364205,-1000832.0430056988,-1205214.0226667174,-1399213.2160145708,-1591307.1789061248
BRIDGEPORT,0,-2790.4599916500156,-12072.430375932061,-21071.350675663314,-28564.676115745162,-34818.050337302186,-37086.78630604811,-37161.80527953128,-37251.74492786392
BRISBANE,0,-13528.167211575084,-23413.987571630743,-33098.242799141735,-42020.95125846882,-52076.09343863392,-63038.436112914496,-74242.18737284836,-83622.48176933291
BROOKS,0,-60201.03600354862,-133747.46497930062,-223751.42068362713,-303039.7697043903,-433036.7615336318,-494063.753590837,-568909.3474853224,-630993.1381293045
BUELLTON,0,-86958.09738267667,-188310.87780892063,-292628.4371349044,-377425.11901397555,-502832.9741652776,-542434.9866403816,-597035.494071827,-645866.7284074298
